"State","Name","Code","ColRulerName","GDPpc17","HDI17","IHDI17","Gini","ColRuler","ColRulerCode","IndFrom","IndDate","IndViol","IndType","SecFrom","SecDate","SecViol","Into","IntoDate","COWsys","GWsys","Notes"
230,"Spain","ESP","Not Colonized",28353.6493696499,0.891,0.754,36.2,-9,"N/C",-9,147901,1,1,-9,-9,-9,-9,-9,181601,181601,"-9"
366,"Estonia","EST","Russia",19792.6437444516,0.871,0.794,32.7,365,"RUS",365,191811,1,2,365,199109,0,-9,-9,191802,191811,"Absorbed into USSR from 6/1940 until seceded 9/1991; acquired by Russia from Sweden in 1710; broke off from Russia in 1918"
530,"Ethiopia","ETH","Not Colonized",720.339679287064,0.463,0.331,39.1,-9,"N/C",-9,185502,1,1,-9,-9,-9,-9,-9,189801,185502,"COW system interrupted 5/1936-5/1941 (Ital occup); terr chg only includes 1941 restoration"
375,"Finland","FIN","Not Colonized",45670.1195230227,0.92,0.868,27.1,-9,"N/C",365,191712,1,2,-9,-9,-9,-9,-9,191712,191712,"Ceded by Sweden to Russia in 1809 after war"
950,"Fiji","FJI","United Kingdom",5382.29893160126,0.741,NA,36.4,200,"GBR",200,197010,0,2,-9,-9,-9,-9,-9,197010,197010,"-9"
220,"France","FRA","Not Colonized",38414.8818445434,0.901,0.808,32.7,-9,"N/C",-9,94308,1,1,-9,-9,-9,-9,-9,181601,181601,"COW system interrupted 11/1942-8/1944 (Ger occup)"
987,"Fed. States of Micronesia","FSM","United States of America",3187.55716099447,0.627,NA,40.1,2,"USA",2,198611,0,2,-9,-9,-9,-9,-9,199109,-9,"Includes Caroline Islands except Palau"
481,"Gabon","GAB","France",7220.93213692854,0.702,0.545,42.2,220,"FRA",220,196008,0,2,-9,-9,-9,-9,-9,196008,196008,"Part of French Equatorial Africa"
200,"United Kingdom","GBR","Not Colonized",39757.7061654369,0.922,0.835,33.2,-9,"N/C",-9,106612,1,1,-9,-9,-9,-9,-9,181601,181601,"-9"
372,"Georgia","GEO","Russia",3874.94712442428,0.78,0.682,36.5,365,"RUS",365,199112,0,3,-9,-9,-9,-9,-9,199112,199109,"Terr chg also includes 1918 violent secession (but not system entry); previously under Armenia-Persian-Turkish control before annexed by Russia in 1801"
452,"Ghana","GHA","United Kingdom",2046.0943097957,0.592,0.42,42.4,200,"GBR",200,195703,0,2,-9,-9,-9,-9,-9,195703,195703,"-9"
438,"Guinea","GIN","France",802.731961814878,0.459,0.306,33.7,220,"FRA",220,195810,0,2,-9,-9,-9,-9,-9,195810,195810,"Administered as Rivieres du Sud with Senegal until 1893; part of French W Africa"
420,"Gambia","GMB","United Kingdom",709.076745429669,0.46,0.289,35.9,200,"GBR",200,196502,0,2,-9,-9,-9,-9,-9,196502,196502,"Part of limited 1982-89 Senegambia confederation with Senegal"
404,"Guinea-Bissau","GNB","Portugal",723.63395435601,0.455,0.276,50.7,235,"PRT",235,197409,0,2,-9,-9,-9,-9,-9,197409,197409,"-9"
411,"Equatorial Guinea","GNQ","Spain",9850.34766435638,0.591,NA,NA,230,"ESP",230,196810,0,2,-9,-9,-9,-9,-9,196810,196810,"-9"
350,"Greece","GRC","Turkey",18198.0002128297,0.87,0.753,36,640,"TUR",640,182908,1,2,-9,-9,-9,-9,-9,182801,182804,"COW system interrupted 4/1941-10/1944 (Ger occup); won independence from Ottoman Empire 1821-9 war (COW: joins system 1/1/1828)"
55,"Grenada","GRD","United Kingdom",10451.0297962233,0.772,NA,NA,200,"GBR",200,197402,0,2,-9,-9,-9,-9,-9,197402,-9,"Founded by French but ceded to British in 1763"
90,"Guatemala","GTM","Spain",4470.96158737233,0.65,0.467,48.3,230,"ESP",89,183904,1,3,89,183904,1,-9,-9,186801,182307,"Seceded from United States/Provinces of Cent.Am. (not in COW system; G&W 7/1/1823-12/31/1839)"
110,"Guyana","GUY","United Kingdom",4555.06842309853,0.654,0.532,NA,200,"GBR",200,196605,0,2,-9,-9,-9,-9,-9,196605,196605,"Founded by Dutch but ceded to British in 1814"
