"Country or Area","Year","Item","Value"
"Tunisia","2017","Gross Domestic Product (GDP)","3474.53839211777"
"Turkey","2017","Gross Domestic Product (GDP)","10546.0573758735"
"Turkmenistan","2017","Gross Domestic Product (GDP)","6584.69635697942"
"Turks and Caicos Islands","2017","Gross Domestic Product (GDP)","28689.1327653332"
"Tuvalu","2017","Gross Domestic Product (GDP)","3923.56119556268"
"Uganda","2017","Gross Domestic Product (GDP)","646.217764904309"
"Ukraine","2017","Gross Domestic Product (GDP)","2536.10774865781"
"United Arab Emirates","2017","Gross Domestic Product (GDP)","40698.8445306129"
"United Kingdom of Great Britain and Northern Ireland","2017","Gross Domestic Product (GDP)","39757.7061654369"
"United Republic of Tanzania: Mainland","2017","Gross Domestic Product (GDP)","933.555309737895"
"United Republic of Tanzania: Zanzibar","2017","Gross Domestic Product (GDP)","919.90451302498"
"United States","2017","Gross Domestic Product (GDP)","60054.9412855313"
"Uruguay","2017","Gross Domestic Product (GDP)","17120.1842645208"
"Uzbekistan","2017","Gross Domestic Product (GDP)","1556.7591686243"
"Vanuatu","2017","Gross Domestic Product (GDP)","3128.39372978115"
"Venezuela (Bolivarian Republic of)","2017","Gross Domestic Product (GDP)","7977.35915414723"
"Viet Nam","2017","Gross Domestic Product (GDP)","2342.24400621131"
"Yemen","2017","Gross Domestic Product (GDP)","989.605353962666"
"Zambia","2017","Gross Domestic Product (GDP)","1513.27622272209"
"Zimbabwe","2017","Gross Domestic Product (GDP)","1091.16624506712"

